source_id,n_ra,n_parallax,n_pmra,n_pmdec,n_phot_g_mean_flux,n_phot_g_mean_mag,n_phot_bp_mean_flux,n_phot_bp_mean_mag,n_phot_rp_mean_flux,n_phot_rp_mean_mag,n_bp_rp,n_bp_g,n_g_rp,teff_gspphot,logg_gspphot,mh_gspphot
19576426575601100,0.781,0.612,0.385,0.403,0.023,0.9,0.031,0.795,0.066,0.696,0.719,0.726,0.847,3262.3335,4.6217,-0.7835
101335527101331008,0.374,0.42,0.233,0.448,0.081,0.726,0.109,0.567,0.111,0.589,0.6,0.554,0.771,4063.911,4.3836,0.2174
88203372536571904,0.818,0.401,0.31,0.284,0.224,0.481,0.278,0.344,0.229,0.413,0.545,0.488,0.721,3680.9866,4.3085,-1.7106
86295689797958592,0.839,0.04,0.044,0.52,0.031,0.868,0.135,0.519,0.026,0.841,0.334,0.273,0.476,4924.5938,4.8354,-1.729
82556697428173600,0.509,0.855,0.236,0.635,0.29,0.407,0.218,0.404,0.345,0.304,0.697,0.699,0.827,3789.2454,4.7283,-0.162
87407497916239296,0.627,0.043,0.033,0.438,0.156,0.578,0.378,0.264,0.101,0.609,0.299,0.211,0.468,5482.8096,4.7457,-1.6547
106863115652264000,0.116,0.107,0.223,0.426,0.002,0.99,0.042,0.751,0.024,0.851,0.542,0.523,0.669,3753.1106,5.0758,-1.3145
86275310177262496,0.947,0.353,0.442,0.646,0.135,0.612,0.179,0.453,0.149,0.521,0.553,0.504,0.719,3740.5735,4.4435,-1.3857
87429625588121600,0.551,0.068,0.072,0.467,0.078,0.731,0.17,0.465,0.074,0.676,0.428,0.362,0.593,4410.026,4.7251,-0.7939
26297775516339800,0.588,0.043,0.175,0.531,0.061,0.777,0.203,0.422,0.038,0.791,0.287,0.222,0.423,5582.657,4.7504,-1.7514
89849551896876608,0.94,0.12,0.113,0.556,0.253,0.446,0.471,0.206,0.187,0.465,0.371,0.288,0.547,4856.4043,4.8153,-1.5421
72813473922895696,0.337,0.101,0.541,0.172,0.094,0.695,0.24,0.38,0.066,0.698,0.33,0.259,0.482,5227.4956,4.7462,-1.9803
76518729324240496,0.294,0.151,0.141,0.627,0.03,0.872,0.105,0.576,0.038,0.792,0.43,0.369,0.588,4359.352,4.9245,-1.8293
85692946972224000,0.334,0.286,0.158,0.491,0.033,0.862,0.07,0.66,0.058,0.72,0.571,0.534,0.726,3542.143,4.6095,-1.228
106603596547723008,0.318,0.209,0.271,0.408,0.269,0.429,0.467,0.208,0.203,0.444,0.391,0.315,0.562,4607.203,4.4,-1.3272
102280729144348000,0.477,0.462,0.518,0.545,0.182,0.537,0.185,0.445,0.206,0.44,0.616,0.592,0.763,3700.49,4.4616,-1.098
102039764299392992,0.911,0.151,0.048,0.424,0.001,0.997,0.063,0.68,0.023,0.856,0.471,0.385,0.67,4157.9688,5.0275,-1.6702
88223232464896992,0.97,0.975,0.209,0.538,0.002,0.988,0.017,0.867,0.049,0.75,0.74,0.734,0.886,3171.7566,5.0102,-0.1567
87576753987590000,0.337,0.088,0.174,0.55,0.023,0.898,0.116,0.554,0.022,0.864,0.346,0.293,0.479,5031.4155,4.7938,-1.742
26136834501255400,0.83,0.316,0.23,0.85,0.174,0.549,0.267,0.354,0.165,0.495,0.483,0.413,0.664,4024.1914,4.7737,-0.5977
103060630781447008,0.448,0.11,0.151,0.572,0.133,0.617,0.293,0.33,0.101,0.61,0.359,0.276,0.534,4888.9185,4.8345,-1.7316
79406317441372400,0.07,0.239,0.118,0.943,0.044,0.825,0.113,0.56,0.049,0.752,0.45,0.404,0.593,4205.3643,4.9153,-1.365
106881532472118000,0.13,0.122,0.088,0.592,0.001,0.994,0.072,0.655,0.011,0.921,0.39,0.344,0.523,4555.494,4.8689,-1.5425
86887703794611392,0.352,0.216,0.11,0.457,0.105,0.672,0.183,0.447,0.102,0.608,0.471,0.412,0.636,4077.236,4.6961,-1.748
86151099723092608,0.697,0.076,0.081,0.65,0.017,0.922,0.08,0.633,0.037,0.797,0.479,0.404,0.666,4034.4153,4.9179,-1.6036
82620228584599200,0.759,0.099,0.106,0.584,0.231,0.472,0.41,0.242,0.181,0.472,0.398,0.318,0.577,4779.593,4.7633,-2.4397
102588970357283008,0.047,0.386,0.258,0.107,0.019,0.915,0.049,0.725,0.049,0.751,0.605,0.58,0.752,3445.35,4.6228,-1.0898
23598508829450100,0.625,0.593,0.194,0.024,0.03,0.874,0.027,0.817,0.081,0.657,0.775,0.801,0.886,3321.8586,4.8774,0.0057
24598789533017700,0.194,0.292,0.312,0.235,0.017,0.924,0.039,0.764,0.056,0.728,0.662,0.637,0.82,3552.8757,4.34,-0.2432
99791851431352496,0.268,0.165,0.011,0.413,0.066,0.761,0.148,0.498,0.079,0.663,0.47,0.38,0.674,3934.058,4.519,-1.7758
101963902292246000,0.835,0.198,0.045,0.808,0.099,0.683,0.199,0.428,0.094,0.625,0.438,0.361,0.618,4296.3984,4.7999,-0.8252
86301045621403104,0.934,0.216,0.162,0.775,0.004,0.979,0.043,0.745,0.032,0.817,0.566,0.526,0.724,3575.377,4.9124,-1.1469
22731853148946000,0.511,0.267,0.424,0.385,0.042,0.831,0.091,0.605,0.067,0.694,0.544,0.478,0.73,3581.105,4.6095,-1.077
87266554269412704,0.436,0.193,0.184,0.15,0.091,0.701,0.16,0.48,0.1,0.612,0.498,0.431,0.678,3923.9895,4.8405,-0.7813
26969478336886000,0.972,0.304,0.289,0.235,0.592,0.181,0.788,0.067,0.489,0.207,0.467,0.401,0.639,4462.406,4.4913,-0.1019
88239244103568192,0.889,0.045,0.203,0.416,0.141,0.602,0.329,0.3,0.096,0.62,0.323,0.243,0.486,5274.7754,4.7545,-1.9586
87539954707632704,0.209,0.074,0.015,0.65,0.232,0.471,0.438,0.225,0.168,0.491,0.366,0.287,0.536,4904.3325,4.8417,-1.9594
102446583601834000,0.714,0.037,0.135,0.532,0.253,0.446,0.482,0.2,0.181,0.473,0.358,0.277,0.529,5120.914,4.8043,-2.6307
25154730099893200,0.829,0.238,0.066,0.701,0.03,0.873,0.078,0.639,0.05,0.746,0.53,0.481,0.692,3819.9565,4.8783,-0.7618
89801547047334208,0.984,0.442,0.394,0.606,0.072,0.748,0.094,0.598,0.106,0.6,0.62,0.58,0.786,3554.6863,4.5852,-1.3621
86424603240533104,0.648,0.251,0.152,0.292,0.023,0.9,0.055,0.705,0.056,0.727,0.608,0.563,0.78,3332.436,4.6098,-1.0959
75214326281232496,0.6,0.269,0.181,0.558,0.118,0.646,0.205,0.42,0.115,0.582,0.468,0.398,0.646,4051.7546,4.814,-0.8376
102896146418198000,0.085,0.064,0.148,0.526,0.092,0.699,0.254,0.366,0.076,0.67,0.34,0.229,0.548,4833.5913,4.7677,-1.0506
99649602114408496,0.048,0.319,0.6,0.37,0.237,0.465,0.299,0.325,0.234,0.407,0.533,0.476,0.706,3965.8972,4.7139,-0.2285
101373632053164000,0.488,0.269,0.153,0.519,0.01,0.952,0.091,0.607,0.026,0.842,0.415,0.315,0.621,4371.5527,5.0537,-2.0805
103014378278688992,0.055,0.095,0.057,0.644,0.239,0.463,0.504,0.188,0.154,0.512,0.313,0.232,0.476,5436.27,4.6793,-1.2206
106402901315868992,0.031,0.128,0.064,0.544,0.438,0.279,0.794,0.065,0.301,0.34,0.348,0.263,0.523,5054.413,4.4687,-0.7466
86905158541804992,0.3,0.354,0.189,0.5,0.051,0.804,0.051,0.716,0.107,0.597,0.732,0.715,0.892,3600.2158,4.3497,-0.4717
86705425382183104,0.114,0.023,0.1,0.345,0.014,0.934,0.08,0.633,0.029,0.828,0.452,0.387,0.62,4276.183,4.9561,-1.621
82205712700774096,0.769,0.06,0.045,0.667,0.057,0.786,0.171,0.463,0.046,0.761,0.352,0.284,0.505,4950.3877,4.8444,-2.0174
101410912367486000,0.361,0.253,0.406,0.72,0.561,0.199,0.908,0.028,0.409,0.257,0.387,0.306,0.563,4607.9644,4.5658,-1.3486
85661301653078704,0.249,0.105,0.074,0.593,0.034,0.86,0.145,0.502,0.032,0.815,0.341,0.252,0.518,4948.5483,4.8554,-2.104
25976202724417000,0.692,0.269,0.311,0.382,0.161,0.569,0.262,0.358,0.15,0.519,0.466,0.393,0.648,4042.441,4.4341,-1.9083
26823415088992300,0.886,0.114,0.154,0.469,0.235,0.467,0.483,0.199,0.157,0.507,0.327,0.246,0.494,5221.8105,4.6967,-0.9684
101430841016536000,0.326,0.148,0.115,0.33,0.167,0.56,0.262,0.359,0.156,0.509,0.475,0.406,0.653,4030.9263,4.5622,-1.3468
19992145049991100,0.92,0.399,1.0,0.521,0.283,0.413,0.377,0.265,0.258,0.382,0.499,0.438,0.67,4317.9727,4.5034,-0.0619
75395372038091008,0.679,0.179,0.181,0.246,0.009,0.957,0.038,0.766,0.045,0.766,0.631,0.594,0.796,3501.0361,4.6812,-0.8076
99848265826356304,0.314,0.065,0.05,0.48,0.145,0.596,0.324,0.304,0.105,0.601,0.343,0.257,0.517,5111.359,4.7723,-1.7079
106574253331400000,0.319,0.267,0.23,0.546,0.01,0.951,0.078,0.637,0.029,0.83,0.454,0.372,0.645,3911.062,5.066,-1.4602
87624445304654896,0.151,0.106,0.078,0.679,0.131,0.621,0.311,0.315,0.09,0.636,0.323,0.244,0.486,5244.0747,4.7581,-1.3524
18381570969236200,0.849,0.082,0.206,0.418,0.3,0.396,0.627,0.129,0.185,0.468,0.297,0.218,0.453,5645.009,4.6441,-1.4899
26796958090479200,0.985,0.421,0.32,0.573,0.446,0.273,0.567,0.156,0.394,0.267,0.498,0.435,0.672,4422.866,4.5543,0.0441
76016248215155504,0.348,0.17,0.13,0.97,0.316,0.38,0.539,0.17,0.246,0.394,0.4,0.313,0.586,4542.3633,4.7458,-0.9001
86404262276000304,0.922,0.251,0.135,0.441,0.011,0.946,0.083,0.624,0.022,0.863,0.413,0.354,0.567,4457.6333,4.851,-1.7603
103183496910488992,0.505,0.043,0.017,0.652,0.22,0.486,0.489,0.196,0.132,0.548,0.288,0.214,0.437,5669.9893,4.7253,-1.2699
19664494880414000,0.636,0.014,0.074,0.704,0.018,0.918,0.133,0.523,0.02,0.872,0.31,0.21,0.497,5282.91,4.7677,-3.4774
100116001203164992,0.183,0.254,0.191,0.459,0.394,0.312,0.632,0.127,0.306,0.336,0.41,0.329,0.591,4413.7144,4.3801,-1.2747
87621284208647600,0.184,0.106,0.348,0.549,0.457,0.265,0.803,0.062,0.314,0.329,0.355,0.276,0.523,5086.516,4.6152,-2.4509
103509880065203008,0.46,0.674,0.17,0.397,0.3,0.396,0.261,0.36,0.338,0.309,0.651,0.633,0.797,3711.3215,4.7561,-0.1819
102429266293636992,0.752,0.257,0.079,0.383,0.38,0.324,0.606,0.138,0.291,0.35,0.408,0.333,0.581,4542.3535,4.4342,-0.7581
103237854016658000,0.476,0.166,0.137,0.617,0.049,0.81,0.12,0.547,0.068,0.692,0.491,0.401,0.698,3936.7349,4.8906,-1.0474
101942010843584992,0.899,0.172,0.204,0.509,0.055,0.793,0.147,0.5,0.055,0.73,0.413,0.341,0.584,4402.9526,4.86,-1.7228
79834542860937296,0.12,0.453,0.516,0.09,0.727,0.112,0.992,0.004,0.589,0.154,0.454,0.381,0.632,4428.046,4.438,-0.7553
24236912768469700,0.396,0.135,0.127,0.552,0.104,0.674,0.236,0.385,0.081,0.657,0.37,0.297,0.533,4768.97,4.8062,-1.205
101454652315243008,0.347,0.367,0.031,0.479,0.027,0.882,0.042,0.75,0.065,0.701,0.673,0.669,0.805,3309.074,4.6209,-1.1766
19523856175910700,0.463,0.261,0.313,0.114,0.0,1.0,0.035,0.777,0.033,0.809,0.603,0.556,0.777,3503.6318,4.9084,-0.4855
89266462841167296,0.664,0.275,0.298,0.328,0.001,0.994,0.033,0.788,0.03,0.825,0.6,0.584,0.734,3387.9075,4.6165,-1.1254
24339785825511100,0.404,0.247,0.315,0.042,0.134,0.616,0.269,0.352,0.108,0.595,0.393,0.317,0.564,4620.9375,4.8318,-1.3879
82420357986343008,0.793,0.243,0.013,0.008,0.618,0.166,0.929,0.022,0.483,0.21,0.422,0.34,0.606,4554.5186,4.2639,-2.1092
26843859133508300,0.824,0.233,0.064,0.428,0.11,0.661,0.236,0.385,0.094,0.626,0.397,0.315,0.578,4553.4414,4.736,-1.7229
74742017317467504,0.422,0.245,0.171,0.393,0.17,0.556,0.26,0.36,0.164,0.496,0.487,0.415,0.673,3963.4531,4.5339,-1.3398
82485568474593104,0.59,0.351,0.249,0.512,0.557,0.201,0.733,0.087,0.482,0.211,0.481,0.409,0.665,4534.2114,4.6763,-0.3463
102101852346418000,0.97,0.035,0.053,0.389,0.068,0.756,0.178,0.454,0.057,0.724,0.376,0.309,0.533,4602.759,4.884,-1.6601
24489972241428900,0.216,0.412,0.285,0.702,0.008,0.961,0.021,0.843,0.044,0.767,0.702,0.729,0.801,3257.3691,4.6575,-0.7383
85854059785203904,0.23,0.374,0.299,0.189,0.114,0.653,0.125,0.536,0.146,0.526,0.626,0.598,0.781,3821.4165,4.3919,-0.4177
101861437256980000,0.409,0.593,0.387,0.428,0.039,0.842,0.051,0.719,0.083,0.653,0.686,0.669,0.838,3393.1602,4.5289,-0.4329
87658293942095392,0.245,0.379,0.376,0.718,0.374,0.328,0.431,0.229,0.368,0.286,0.55,0.49,0.729,3602.4084,4.0412,-1.2131
85596808424072096,0.387,0.683,0.166,0.38,0.011,0.947,0.011,0.907,0.065,0.701,0.82,0.864,0.919,3209.4624,5.0346,-0.3244
22600324070092900,0.381,0.716,0.524,0.771,0.074,0.742,0.072,0.654,0.117,0.577,0.691,0.687,0.827,3340.7556,4.4956,-1.144
106937577500368000,0.103,0.124,0.062,0.559,0.292,0.404,0.586,0.147,0.189,0.462,0.318,0.239,0.48,5350.6484,4.6937,-1.2273
89806705303204800,0.977,0.329,0.237,0.274,0.389,0.316,0.515,0.182,0.345,0.304,0.489,0.422,0.668,4313.2485,4.6463,-0.1417
18301714641988800,0.875,0.436,0.248,0.475,0.249,0.45,0.295,0.328,0.241,0.399,0.543,0.502,0.698,4189.5176,4.6728,-0.0071
102736824606882000,0.226,0.215,0.218,0.575,0.266,0.431,0.455,0.215,0.203,0.444,0.398,0.324,0.567,4622.112,4.5082,-0.3627
24663355776747700,0.382,0.666,0.141,0.578,0.176,0.547,0.158,0.483,0.219,0.425,0.665,0.648,0.813,3630.6147,4.2974,-0.5323
26109037473383100,0.854,0.141,0.234,0.079,0.064,0.767,0.18,0.452,0.055,0.73,0.368,0.289,0.54,4826.281,4.8764,-1.9107
22559543356146100,0.454,0.029,0.12,0.494,0.313,0.383,0.657,0.117,0.194,0.455,0.296,0.213,0.457,5544.4453,4.669,-1.3879
24659193952894300,0.404,0.115,0.114,0.414,0.114,0.652,0.273,0.348,0.083,0.652,0.339,0.26,0.505,5094.2456,4.7709,-1.4117
89247775439287392,0.546,0.074,0.07,0.452,0.197,0.516,0.42,0.236,0.127,0.558,0.317,0.245,0.469,5291.252,4.7535,-1.5453
86130346441574592,0.381,0.111,0.363,0.119,0.191,0.525,0.387,0.258,0.136,0.543,0.351,0.273,0.517,4945.1235,4.8136,-1.7335
106580472444162000,0.303,0.075,0.088,0.56,0.019,0.917,0.129,0.53,0.019,0.875,0.315,0.225,0.489,5249.576,4.7817,-1.5447
103553894890380992,0.377,0.072,0.175,0.396,0.333,0.364,0.65,0.119,0.219,0.425,0.325,0.243,0.491,5219.8677,4.7517,-1.3925
89249764008941296,0.504,0.011,0.155,0.314,0.055,0.792,0.188,0.441,0.037,0.795,0.301,0.236,0.442,5526.6343,4.7506,-1.6371
87529582362143600,0.524,0.431,0.066,0.25,0.461,0.262,0.613,0.135,0.398,0.264,0.48,0.412,0.659,4080.6846,4.5536,-0.7495
25061271611157800,0.947,0.101,0.032,0.581,0.295,0.401,0.549,0.165,0.203,0.444,0.351,0.275,0.514,5010.759,4.7107,-1.0341
102699574354872992,0.124,0.627,0.122,0.963,0.385,0.32,0.397,0.251,0.391,0.269,0.585,0.542,0.749,3613.8196,4.2396,-0.9892
103242526940834000,0.559,0.03,0.128,0.569,0.063,0.771,0.196,0.43,0.045,0.765,0.317,0.245,0.469,5291.458,4.7848,-1.8536
101660054831043008,0.355,0.058,0.121,0.566,0.123,0.635,0.293,0.33,0.086,0.644,0.329,0.25,0.493,5202.177,4.7734,-1.6189
22808372285844900,0.26,0.029,0.157,0.725,0.016,0.926,0.132,0.524,0.01,0.93,0.261,0.202,0.386,5951.171,4.7051,-1.5217
86910346861938304,0.116,0.088,0.172,0.334,0.009,0.957,0.068,0.664,0.026,0.842,0.468,0.411,0.629,4099.2466,5.0003,-1.5101
76463130972120496,0.479,0.485,0.12,0.354,0.639,0.155,0.776,0.071,0.572,0.163,0.509,0.444,0.69,4237.1353,4.3293,-0.8048
99890322146283600,0.22,0.206,0.005,0.277,0.216,0.491,0.36,0.277,0.174,0.482,0.422,0.353,0.589,4562.4766,4.5403,-0.099
76410560572903392,0.161,0.359,0.229,0.358,0.061,0.776,0.094,0.598,0.088,0.639,0.586,0.541,0.753,3630.0945,4.3218,-1.7941
82266525142532800,0.644,0.162,0.111,0.657,0.178,0.543,0.333,0.297,0.139,0.537,0.392,0.318,0.562,4694.462,4.8775,-1.7242
23187982970934200,0.723,0.29,0.345,0.543,0.427,0.287,0.66,0.115,0.328,0.317,0.415,0.341,0.588,4550.5723,4.7321,-0.8085
83094530412994496,0.962,0.051,0.055,0.133,0.621,0.165,0.92,0.024,0.506,0.198,0.435,0.346,0.631,4304.574,4.2963,-0.8692
106635692839104000,0.137,0.16,0.067,0.523,0.131,0.62,0.325,0.303,0.123,0.566,0.373,0.224,0.634,4681.234,4.7889,-1.6784
19473519159465000,0.682,0.143,0.117,0.678,0.021,0.908,0.104,0.578,0.03,0.825,0.403,0.324,0.58,4489.661,4.8727,-1.4464
75659903368554800,0.147,0.062,0.024,0.567,0.201,0.511,0.411,0.242,0.136,0.543,0.336,0.263,0.494,5054.527,4.7219,-1.5167
102364433762495008,0.895,0.058,0.145,0.602,0.442,0.276,0.862,0.042,0.268,0.372,0.299,0.226,0.45,5567.33,4.5379,-1.182
86265281429380896,0.732,0.024,0.073,0.389,0.238,0.464,0.485,0.198,0.157,0.507,0.326,0.248,0.487,5169.1904,4.775,-1.496
75708865995920096,0.218,0.411,0.307,0.753,0.035,0.854,0.051,0.718,0.075,0.671,0.67,0.65,0.82,3427.1367,4.1541,-0.2605
72864949105952496,0.126,0.119,0.18,0.485,0.385,0.32,0.671,0.111,0.277,0.362,0.371,0.289,0.547,4795.565,4.7526,-1.1514
106618341171547008,0.174,0.405,0.193,0.115,0.331,0.366,0.412,0.241,0.314,0.329,0.523,0.46,0.702,4274.7607,4.5437,0.1005
23086449944081100,0.709,0.073,0.345,0.143,0.385,0.32,0.718,0.092,0.26,0.38,0.339,0.256,0.509,5177.867,4.771,-2.1834
22796930493621100,0.547,0.961,0.352,0.527,0.299,0.397,0.218,0.405,0.37,0.285,0.715,0.712,0.853,3530.119,4.769,0.0652
89506568693398496,0.716,0.193,0.104,0.503,0.121,0.639,0.223,0.399,0.11,0.591,0.44,0.37,0.614,4296.6934,4.7572,-0.6579
79646835609837504,0.172,0.22,0.181,0.794,0.034,0.859,0.098,0.59,0.044,0.768,0.465,0.413,0.618,4053.3564,5.0028,-1.5258
102939272185351008,0.1,0.052,0.157,0.646,0.375,0.328,0.75,0.08,0.23,0.412,0.3,0.223,0.455,5542.4883,4.6453,-1.146
89106827496837792,0.895,0.321,0.38,0.238,0.333,0.364,0.493,0.194,0.278,0.362,0.449,0.378,0.626,4260.1187,4.6962,-0.3786
23612841135861600,0.759,0.291,0.212,0.838,0.542,0.21,0.83,0.053,0.41,0.256,0.41,0.336,0.584,4465.037,4.3953,-0.8434
23885481364704200,0.157,0.202,0.195,0.704,0.298,0.398,0.536,0.171,0.21,0.435,0.364,0.292,0.526,4863.5947,4.5991,-0.5277
75908019334593904,0.149,0.322,0.341,0.623,0.299,0.397,0.413,0.241,0.273,0.366,0.49,0.418,0.674,4323.084,4.5193,-0.0317
26422505661641600,0.647,0.375,0.204,0.154,0.264,0.434,0.321,0.306,0.257,0.382,0.537,0.485,0.706,4197.72,4.6856,-0.0011
102401606703924992,0.679,0.116,0.097,0.64,0.096,0.689,0.243,0.377,0.072,0.681,0.341,0.263,0.507,4988.2476,4.7979,-1.6598
76202379213141104,0.661,0.116,0.143,0.585,0.307,0.389,0.626,0.13,0.216,0.428,0.332,0.228,0.528,5174.0312,4.7833,-2.3676
106404206985934000,0.038,0.071,0.052,0.653,0.031,0.871,0.133,0.523,0.032,0.816,0.36,0.276,0.536,4856.4014,4.8121,-1.4717
89275022711684896,0.716,0.365,0.137,0.733,0.036,0.852,0.044,0.745,0.078,0.664,0.701,0.701,0.832,3413.1074,4.869,-0.386
74732813203340992,0.382,0.106,0.078,0.728,0.025,0.892,0.148,0.497,0.021,0.864,0.293,0.2,0.467,5559.148,4.6979,-3.7376
75996461301263392,0.042,0.17,0.264,0.627,0.297,0.399,0.523,0.178,0.21,0.436,0.37,0.301,0.528,4805.7695,4.8099,-1.3934
23403448594728100,0.612,0.256,0.013,0.462,0.042,0.832,0.074,0.648,0.067,0.694,0.583,0.554,0.73,3730.4104,4.8436,-0.98
88990420998828608,0.864,0.399,0.268,0.593,0.708,0.121,0.995,0.003,0.568,0.165,0.444,0.368,0.625,4372.256,4.5291,-0.5866
25111338045529400,0.974,0.341,0.094,0.13,0.598,0.177,0.835,0.051,0.487,0.208,0.451,0.377,0.631,4535.344,4.5253,0.0127
86278303770177504,0.903,0.109,0.455,0.26,0.4,0.308,0.811,0.059,0.247,0.393,0.296,0.212,0.46,5598.475,4.6836,-1.886
99892967846131392,0.2,0.168,0.387,0.433,0.539,0.211,0.875,0.038,0.458,0.225,0.424,0.307,0.654,4571.1113,4.3809,-1.072
26090723732503100,0.951,0.098,0.211,0.583,0.005,0.976,0.063,0.678,0.022,0.862,0.465,0.411,0.621,4167.1665,5.0124,-1.7073
101427130164772000,0.247,0.108,0.134,0.311,0.358,0.342,0.678,0.108,0.239,0.401,0.335,0.253,0.502,5084.997,4.6032,-1.3487
86101248037651008,0.385,0.174,0.102,0.717,0.303,0.393,0.525,0.177,0.228,0.414,0.389,0.309,0.565,4653.9365,4.8289,-1.4017
24606726632383800,0.284,0.029,0.098,0.645,0.025,0.891,0.126,0.536,0.023,0.857,0.335,0.271,0.481,5124.854,4.7917,-1.6759
19386726460231000,0.921,0.035,0.289,0.347,0.042,0.833,0.177,0.455,0.03,0.827,0.287,0.205,0.445,5553.8677,4.7407,-2.6918
23191247146039400,0.71,0.336,0.176,0.89,0.165,0.563,0.217,0.406,0.176,0.48,0.545,0.488,0.72,3631.9563,4.2178,-1.0875
79542145781992400,0.169,0.608,0.47,0.589,0.018,0.919,0.031,0.798,0.06,0.714,0.706,0.706,0.84,3216.8765,4.6647,-0.7134
76280165365191200,0.218,0.153,0.118,0.553,0.074,0.742,0.176,0.457,0.067,0.694,0.405,0.334,0.573,4459.2173,4.8234,-1.4771
101724621074462000,0.218,0.207,0.036,0.379,0.349,0.35,0.62,0.132,0.261,0.379,0.377,0.286,0.565,4741.531,4.6559,-0.5596
22557546196262700,0.501,0.044,0.053,0.532,0.166,0.562,0.332,0.298,0.122,0.567,0.367,0.294,0.531,4821.739,4.3981,-1.7964
101695582799688000,0.194,0.051,0.019,0.475,0.057,0.786,0.146,0.502,0.054,0.733,0.412,0.353,0.565,4476.1206,4.8629,-1.4226
18302887168448100,0.918,0.102,0.099,0.689,0.144,0.598,0.333,0.297,0.091,0.631,0.31,0.243,0.454,5429.1567,4.69,-0.7231
86618529604579504,0.841,0.831,0.322,0.392,0.08,0.728,0.058,0.694,0.133,0.547,0.756,0.781,0.866,3380.5503,4.7471,-0.4216
102649271698238000,0.359,0.245,0.03,0.162,0.26,0.438,0.402,0.248,0.238,0.402,0.465,0.373,0.669,4126.3086,4.5151,-1.5231
101367623392643008,0.459,0.111,0.23,0.621,0.457,0.265,0.869,0.04,0.292,0.349,0.317,0.237,0.481,5390.3413,4.7639,-2.09
106582052992215008,0.295,0.061,0.053,0.621,0.267,0.431,0.573,0.154,0.171,0.487,0.303,0.214,0.474,5476.9917,4.74,-1.6705
102892057609284992,0.103,0.062,0.137,0.467,0.133,0.616,0.314,0.312,0.09,0.635,0.321,0.244,0.48,5236.014,4.7744,-1.6329
24694069087672700,0.495,0.653,0.675,0.798,0.073,0.743,0.071,0.656,0.116,0.578,0.693,0.691,0.825,3409.4875,4.4099,-1.1664
106856174984936992,0.122,0.103,0.081,0.824,0.012,0.945,0.048,0.729,0.045,0.764,0.598,0.544,0.779,3464.6567,4.6083,-1.1881
106514639185900000,0.119,0.282,0.085,0.359,0.011,0.948,0.044,0.744,0.047,0.758,0.617,0.568,0.797,3364.6536,4.7099,-0.7044
89056185537994400,0.725,0.29,0.209,0.255,0.125,0.631,0.175,0.458,0.14,0.535,0.545,0.487,0.721,3766.858,4.5847,-0.9213
19675279543130400,0.751,0.054,0.274,0.297,0.016,0.925,0.115,0.556,0.021,0.866,0.347,0.261,0.523,5163.4385,4.8091,-2.1552
103335714846747008,0.203,0.162,0.084,0.526,0.01,0.953,0.097,0.594,0.017,0.889,0.361,0.29,0.521,4658.6704,4.8658,-1.4939
75054690936733792,0.978,0.856,0.463,0.354,0.293,0.403,0.233,0.388,0.344,0.304,0.682,0.674,0.821,3722.242,4.6697,-0.2435
87748793197866400,0.466,0.144,0.195,0.414,0.014,0.935,0.069,0.661,0.035,0.804,0.5,0.437,0.675,3768.1235,4.9537,-0.8972
102044029202283008,0.97,0.097,0.13,0.362,0.501,0.236,0.97,0.01,0.313,0.33,0.306,0.223,0.47,5546.552,4.7382,-1.8568
85682776489178096,0.436,0.347,0.279,0.536,0.037,0.85,0.082,0.628,0.058,0.72,0.541,0.492,0.706,3788.2178,4.9324,-1.2328
23001783253523200,0.479,0.074,0.197,0.529,0.202,0.51,0.444,0.221,0.127,0.557,0.304,0.228,0.459,5473.8716,4.7183,-1.7333
89489182665744608,0.76,0.301,0.512,0.029,0.079,0.73,0.105,0.576,0.104,0.604,0.596,0.565,0.746,4011.9731,4.487,-0.0616
99817926177484096,0.214,0.095,0.131,0.435,0.062,0.774,0.175,0.458,0.055,0.73,0.374,0.291,0.552,4670.014,4.8552,-1.5337
87600981898554400,0.32,0.229,0.321,0.635,0.481,0.249,0.766,0.074,0.359,0.293,0.399,0.321,0.574,4784.9854,4.5291,0.0902
101558487443948000,0.537,0.101,0.258,0.318,0.083,0.719,0.241,0.38,0.056,0.728,0.303,0.226,0.458,5483.803,4.7654,-2.0735
19174589435452500,0.735,0.273,0.063,0.427,0.354,0.345,0.594,0.144,0.28,0.36,0.405,0.314,0.598,4561.7354,4.7188,-0.7378
76000962426875696,0.413,0.206,0.477,0.684,0.148,0.591,0.305,0.32,0.113,0.584,0.372,0.294,0.544,4738.7437,4.8166,-2.2163
101925793046948000,0.729,0.243,0.059,0.747,0.082,0.722,0.133,0.523,0.094,0.625,0.528,0.481,0.687,3758.8345,4.4883,-1.215
18312091283304300,0.965,0.047,0.095,0.411,0.33,0.367,0.672,0.11,0.203,0.444,0.3,0.223,0.454,5576.482,4.5421,-0.5655
85922916700696000,0.146,0.172,0.069,0.233,0.082,0.723,0.188,0.44,0.072,0.679,0.402,0.329,0.571,4509.9277,4.8759,-1.549
23643490022468300,0.747,0.354,0.508,0.383,0.027,0.884,0.035,0.778,0.067,0.694,0.705,0.717,0.823,3391.1807,4.9086,-0.2849
100112084192992992,0.188,0.338,0.337,0.681,0.201,0.511,0.255,0.366,0.208,0.437,0.545,0.486,0.722,4299.112,4.5316,0.0543
