source_id,n_ra,n_parallax,n_pmra,n_pmdec,n_phot_g_mean_flux,n_phot_g_mean_mag,n_phot_bp_mean_flux,n_phot_bp_mean_mag,n_phot_rp_mean_flux,n_phot_rp_mean_mag,n_bp_rp,n_bp_g,n_g_rp,teff_gspphot,logg_gspphot,mh_gspphot
86871662091893792,0.284,0.325,0.054,0.222,0.659,0.145,0.849,0.047,0.588,0.155,0.493,0.413,0.689,4651.934,4.6639,-0.5312
86440889756568000,0.569,0.278,0.165,0.701,0.269,0.428,0.44,0.224,0.218,0.426,0.422,0.345,0.601,4350.167,4.637,-1.4543
24643835149770800,0.401,0.56,0.105,0.327,0.64,0.155,0.569,0.155,0.672,0.117,0.629,0.596,0.789,3841.0967,4.478,-0.0179
23480517488114600,0.625,0.511,0.167,0.663,0.038,0.847,0.069,0.663,0.068,0.692,0.599,0.56,0.762,3480.5483,4.9247,-0.5697
103062795444960992,0.466,0.241,0.183,0.515,0.119,0.643,0.195,0.432,0.155,0.511,0.542,0.425,0.793,3894.5386,4.8271,-0.7077
87260786128494800,0.409,0.707,0.262,0.334,0.316,0.38,0.285,0.337,0.357,0.294,0.643,0.615,0.801,3792.3606,4.7351,-0.1878
102738130276939008,0.214,0.084,0.075,0.692,0.438,0.279,0.838,0.05,0.274,0.366,0.312,0.236,0.468,5394.0205,4.6396,-0.9024
75621420461553696,0.333,0.254,0.326,0.073,0.552,0.204,0.877,0.038,0.401,0.263,0.391,0.316,0.559,4978.4316,4.6769,-0.6441
24486295749693000,0.575,0.287,0.176,0.356,0.012,0.942,0.036,0.776,0.041,0.781,0.628,0.634,0.738,3414.3013,4.6184,-1.0908
103232669991254000,0.477,0.138,0.301,0.399,0.156,0.577,0.318,0.309,0.124,0.564,0.38,0.293,0.564,4690.394,4.7828,-1.6004
81401724887350400,0.979,0.18,0.057,0.256,0.027,0.886,0.107,0.572,0.035,0.803,0.416,0.343,0.589,4303.7144,4.9435,-1.6035
